# Raman tensors calculated by Gaussian
# Gaussian .LOG-file: /home/jonas/code/python/PolaRam/gaussian/GLYKOGENFRAGMENT.LOG

# Gaussian calculation settings:
# ******************************************
# Gaussian 16:  EM64W-G16RevB.01 16-Dec-2017
# 14-Sep-2020
# ******************************************
# %nprocshared = 6
# Will use up to    6 processors via shared memory.
# %chk=C:\Users\no83wec\Documents\BA_projektmodul\2020_09_14\glycogenFragment\glyk
# ogenFragment.chk
# -------------------------------------------------------------------
# # opt freq(raman, printderivatives) b3lyp/6-31+G* geom=connectivity

 0.184032  -0.17597    0.0729812

! v_104 = 1463.7963/cm
-0.341189  -0.189269   0.0253001
-0.189269   0.0985668 -0.0835914
 0.0253001 -0.0835914  0.0127516

! v_105 = 1473.0263/cm
 0.0976755  0.0149235  0.0189847
 0.0149235  0.0666924 -0.18138  
 0.0189847 -0.18138    0.0396905

! v_106 = 1522.5947/cm
-0.558454   -0.00947306  0.119825  
-0.00947306 -0.00374013  0.282271  
 0.119825    0.282271    0.495171  

! v_107 = 1523.8280/cm
-0.520281  -0.0235353 -0.0129787
-0.0235353  0.364212  -0.14496  
-0.0129787 -0.14496    0.0414862

! v_108 = 2998.6111/cm
 1.51313   0.289333 -1.00815 
 0.289333  0.411329 -0.225529
-1.00815  -0.225529  1.39514 

! v_109 = 3021.8152/cm
-1.00021   -0.320937  -0.027582 
-0.320937   0.0047576 -0.0561878
-0.027582  -0.0561878  0.857431 

! v_110 = 3026.6722/cm
-0.447767 -0.463063 -0.103307
-0.463063 -0.161165 -0.119145
-0.103307 -0.119145  2.10216 

! v_111 = 3032.2070/cm
 1.64586   0.935739 -0.25123 
 0.935739  1.87895   0.334335
-0.25123   0.334335  1.8607  

! v_112 = 3032.7743/cm
-0.545919   0.0554786  0.766773 
 0.0554786  0.261959   0.312913 
 0.766773   0.312913  -0.56753  

! v_113 = 3038.8197/cm
 1.96392  -0.109586 -0.898551
-0.109586  0.731349 -0.151649
-0.898551 -0.151649  1.75243 

! v_114 = 3039.7510/cm
3.41254  0.755557 0.917279
0.755557 0.767521 0.28805 
0.917279 0.28805  1.88915 

! v_115 = 3060.7757/cm
 1.04787   0.413106 -1.12837 
 0.413106  0.369182 -0.421623
-1.12837  -0.421623  0.808999

! v_116 = 3062.9127/cm
 0.0465303  -0.00885217  0.100875  
-0.00885217 -0.198517   -0.147077  
 0.100875   -0.147077   -0.794622  

! v_117 = 3073.0226/cm
-0.445265 -0.276262  0.537701
-0.276262 -0.292112  0.186418
 0.537701  0.186418 -0.496935

! v_118 = 3074.6889/cm
 0.0265511 -0.601844  -0.741662 
-0.601844  -0.653084  -0.509503 
-0.741662  -0.509503   1.34499  

! v_119 = 3084.4690/cm
 1.30794   0.10313   0.60167 
 0.10313   0.555067 -0.230375
 0.60167  -0.230375  2.39346 

! v_120 = 3086.2512/cm
 0.143681  -0.0759451 -0.05176  
-0.0759451 -0.256039  -0.106596 
-0.05176   -0.106596   0.0713918

! v_121 = 3105.6918/cm
-0.877252  0.324819 -1.40884 
 0.324819 -0.343239  0.27442 
-1.40884   0.27442  -0.484603

! v_122 = 3575.4042/cm
 3.26261     0.353082   -0.239181  
 0.353082    0.589459   -0.00597052
-0.239181   -0.00597052  0.209238  

! v_123 = 3624.6508/cm
-3.09864    0.284577   0.4051   
 0.284577  -0.344348   0.0133096
 0.4051     0.0133096 -0.289961 

! v_124 = 3719.8278/cm
-0.548036   0.373051  -0.0668785
 0.373051  -2.16834   -0.254247 
