"wavenumber" "waveplate" "signal"
550.556 "80" -0.00484152201329074
550.556 "90" -0.00459215805652074
555.456 "0" 0.00591336575747425
555.456 "10" 0.005082754422383
555.456 "20" 0.00242189879954611
555.456 "30" -0.00114881057284765
555.456 "40" -0.00193340309106327
555.456 "50" -0.00485460083799422
555.456 "60" -0.00150613418941066
555.456 "70" 0.00011840378131906
555.456 "80" 0.0028699700167272
555.456 "90" 0.00424760570607411
560.353 "0" 0.00302270534196424
560.353 "10" -0.000967945147510134
560.353 "20" 0.000183380091807349
560.353 "30" 0.00113109505221332
560.353 "40" 0.00161541501107643
560.353 "50" 0.0083491110577153
560.353 "60" 0.00411110897281033
560.353 "70" 0.00880326404134859
560.353 "80" 0.00965335686296129
560.353 "90" 0.00548579690013984
565.248 "0" 0.00282887096348649
565.248 "10" -0.00232140900680873
565.248 "20" -0.00142508476933525
565.248 "30" 0.00481788646264428
565.248 "40" 0.00852891742639482
565.248 "50" 0.0119902146859711
565.248 "60" 0.0104043524403528
565.248 "70" 0.0137227458923593
565.248 "80" 0.00638562873677976
565.248 "90" 0.00886673941863531
570.139 "0" -9.74844419186481e-06
570.139 "10" 0.00250094226544984
570.139 "20" 0.00290073427989993
570.139 "30" 0.0148681030121311
570.139 "40" 0.0193483448255367
570.139 "50" 0.0131321689688258
570.139 "60" 0.00783937912073761
570.139 "70" 0.0123784204779892
570.139 "80" 0.00718612411769304
570.139 "90" 0.0091058294610227
575.028 "0" -0.00599166565713537
575.028 "10" 0.00488866458616741
575.028 "20" 0.00582918527294921
575.028 "30" 0.0140036394555296
575.028 "40" 0.0102265504824295
575.028 "50" 0.0142486171682184
575.028 "60" 0.0078086896571315
575.028 "70" 0.0147902714727569
575.028 "80" 0.00917211219511044
575.028 "90" 0.00967320290222434
579.915 "0" 0.00598097333565042
579.915 "10" 0.0145642311106309
579.915 "20" 0.0117292365785614
579.915 "30" 0.019462885507961
579.915 "40" 0.0176836601462966
579.915 "50" 0.017971193201069
579.915 "60" 0.0222623472824164
579.915 "70" 0.0210172151392737
579.915 "80" 0.0200522903933357
579.915 "90" 0.0183946274578455
584.798 "0" 0.00962976780498572
584.798 "10" 0.0116658875826385
584.798 "20" 0.0122647388906635
584.798 "30" 0.00951952369284275
584.798 "40" 0.0146835133111782
584.798 "50" 0.0149548571038206
584.798 "60" 0.013018981490113
584.798 "70" 0.0122316355902935
584.798 "80" 0.00766835595216478
584.798 "90" 0.00814620568813001
589.679 "0" 0.00226179619991917
589.679 "10" 0.00539975543686571
589.679 "20" 0.00734211530311565
589.679 "30" 0.0138549955182899
589.679 "40" 0.0172197774823473
589.679 "50" 0.00637653038656632
589.679 "60" 0.0114447171337054
589.679 "70" 0.00682910067194349
589.679 "80" 0.00819873761265277
589.679 "90" 0.0124016158158354
594.558 "0" -0.00289282690274207
594.558 "10" -5.38388632055027e-05
594.558 "20" 0.000267690220494099
594.558 "30" 0.00641010924669599
594.558 "40" 0.00699075776085542
594.558 "50" 0.00804664488807117
594.558 "60" 0.00429947043574741
594.558 "70" 0.0102133910857267
594.558 "80" 0.012321511746829
594.558 "90" 0.00955245873492764
599.433 "0" 0.00214385885377194
599.433 "10" 0.00468976545148458
599.433 "20" 0.00415076501602152
599.433 "30" 0.00779072791160706
599.433 "40" 0.00908150171284284
599.433 "50" 0.00544247811527354
599.433 "60" 0.00354723337229467
599.433 "70" 0.01319641023198
599.433 "80" 0.00477560716143401
599.433 "90" 0.00424715224304453
604.306 "0" 0.00403502248809784
604.306 "10" 0.00953032360341007
604.306 "20" 0.0148552586138447
604.306 "30" 0.0147135713808986
604.306 "40" 0.0197636320131723
604.306 "50" 0.0179671274437411
604.306 "60" 0.014789821229387
604.306 "70" 0.017540695539009
604.306 "80" 0.0170667674884685
604.306 "90" 0.0191708203938443
609.177 "0" 0.00905718923889292
609.177 "10" 0.00971984785869282
609.177 "20" 0.0104154695975922
609.177 "30" 0.0199713441627844
609.177 "40" 0.0241003768641644
609.177 "50" 0.0184868185752986
609.177 "60" 0.0175403151655231
609.177 "70" 0.0143307635358237
609.177 "80" 0.0136546317906397
609.177 "90" 0.00690061845687947
614.044 "0" 0.0158108923912732
614.044 "10" 0.0213175649137882
614.044 "20" 0.0206621149119754
614.044 "30" 0.025191442673926
614.044 "40" 0.0249979194051831
614.044 "50" 0.0189548237616081
614.044 "60" 0.0168457599321312
614.044 "70" 0.020328892318739
614.044 "80" 0.0146435463799725
614.044 "90" 0.0165003242224111
618.909 "0" 0.0208065626431524
618.909 "10" 0.0308091004431945
618.909 "20" 0.0304986651429161
618.909 "30" 0.0354580610637058
618.909 "40" 0.0314239367148416
618.909 "50" 0.0293092623013792
618.909 "60" 0.0335953040007286
618.909 "70" 0.039376602038523
618.909 "80" 0.0353956696521449
618.909 "90" 0.0349475224366299
623.772 "0" 0.0475920908916767
623.772 "10" 0.0543766250016795
623.772 "20" 0.0551467158314873
623.772 "30" 0.0625790221735957
623.772 "40" 0.0595701614340974
623.772 "50" 0.0586434505323466
623.772 "60" 0.0525506903331863
623.772 "70" 0.0564095792358741
623.772 "80" 0.0570327177057898
623.772 "90" 0.0499400899959735
628.631 "0" 0.0486948776050173
628.631 "10" 0.0559046637939382
628.631 "20" 0.0532841040873343
628.631 "30" 0.0578348764280472
628.631 "40" 0.0555003078268978
628.631 "50" 0.0527925997814939
628.631 "60" 0.044730215253301
628.631 "70" 0.0520114162687919
628.631 "80" 0.0472481593425441
628.631 "90" 0.0465709628103253
633.488 "0" 0.0253828546379856
633.488 "10" 0.0272873009248479
633.488 "20" 0.0282268251060492
633.488 "30" 0.0316659723703314
633.488 "40" 0.0331508395628694
633.488 "50" 0.0301533907987187
633.488 "60" 0.0381448299098151
633.488 "70" 0.0362234243141637
633.488 "80" 0.0350198620594038
633.488 "90" 0.0300975100070281
638.343 "0" 0.00916534020051972
638.343 "10" 0.0190361855422896
638.343 "20" 0.0187545575021693
638.343 "30" 0.0248022047607582
638.343 "40" 0.0324406950505691
638.343 "50" 0.0285583106631965
638.343 "60" 0.0213666130677295
