"exp" "wavenumber" "signal" "P" "color"
"Mit Mikroskop" 1830.55 -0.0299214860206817 0 45
"Mit Mikroskop" 1834.77 -0.0393613508796755 0 45
"Mit Mikroskop" 1838.99 -0.0207109141701185 0 45
"Mit Mikroskop" 1843.2 -0.0234162456276721 0 45
"Mit Mikroskop" 1847.42 -0.0147604141584398 0 45
"Mit Mikroskop" 1851.63 0.00427750943214855 0 45
"Mit Mikroskop" 1855.84 0.0163012928611579 0 45
"Mit Mikroskop" 1860.04 0.0341533082169856 0 45
"Mit Mikroskop" 1864.25 -0.00646604710625942 0 45
"Mit Mikroskop" 1868.45 -0.0418267280666172 0 45
"Mit Mikroskop" 1872.65 -0.0283661385072671 0 45
"Mit Mikroskop" 1876.85 -0.0129825208688834 0 45
"Mit Mikroskop" 1881.04 -0.00908589041726093 0 45
"Mit Mikroskop" 1885.24 -0.0113313147995229 0 45
"Mit Mikroskop" 1889.43 0.0130103289887848 0 45
"Mit Mikroskop" 1893.62 0.03314266487214 0 45
"Mit Mikroskop" 1897.8 0.0291916904597815 0 45
"Mit Mikroskop" 1901.99 0.00174816442735115 0 45
"Mit Mikroskop" 1906.17 -0.0153112634864458 0 45
"Mit Mikroskop" 1910.35 -0.00458443193425018 0 45
"Mit Mikroskop" 1914.53 0.0251969240118739 0 45
"Mit Mikroskop" 1918.71 0.0555594942691715 0 45
"Mit Mikroskop" 1922.88 0.0332213245632851 0 45
"Mit Mikroskop" 1927.05 -0.00601154974912443 0 45
"Mit Mikroskop" 1931.22 0.00522100687471938 0 45
"Mit Mikroskop" 1935.39 0.0169495526545644 0 45
"Mit Mikroskop" 1939.56 0.00087505616914596 0 45
"Mit Mikroskop" 1943.72 0.0334840758202637 0 45
"Mit Mikroskop" 1947.88 0.0323200472976302 0 45
"Mit Mikroskop" 1952.04 0.0119027125396551 0 45
"Mit Mikroskop" 1956.2 -0.0106255355612682 0 45
"Mit Mikroskop" 1960.35 -0.0218139228460582 0 45
"Mit Mikroskop" 1964.51 -0.0119358268097034 0 45
"Mit Mikroskop" 1968.66 -0.00294265413048178 0 45
"Mit Mikroskop" 1972.8 0.0191820744350486 0 45
"Mit Mikroskop" 1976.95 0.0355077082890669 0 45
"Mit Mikroskop" 1981.1 0.0197907766205576 0 45
"Mit Mikroskop" 1985.24 0.00510099514950024 0 45
"Mit Mikroskop" 1989.38 0.00378796681462212 0 45
"Mit Mikroskop" 1993.52 -0.00856377380155016 0 45
"Mit Mikroskop" 1997.65 -0.0220156209443355 0 45
